ITEM TYPE,RETAIL SALES
WINE,0.00
WINE,0.00
BEER,0.00
WINE,0.00
WINE,0.82
WINE,2.76
WINE,0.08
BEER,0.00
LIQUOR,6.41
WINE,0.33
LIQUOR,1.70
LIQUOR,1.02
LIQUOR,0.68
LIQUOR,0.34
WINE,0.00
POLIZIANO ROSSO MONTEPUL - 750ML,WINE
HATSUMAGO SAKE JUN MAI SHU - 720ML,WINE
WINE,0.16
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
LIQUOR,12.72
WINE,11.17
STR_SUPPLIES,0.10
WINE,1.25
WINE,0.32
WINE,0.00
LIQUOR,1.21
WINE,1.91
HILLROCK DOUBLE CASK RYE - 750ML,LIQUOR
WINE,0.00
LIQUOR,0.85
BEER,0.00
LIQUOR,0.08
LIQUOR,0.51
LIQUOR,1.16
LIQUOR,0.34
ALLAN SCOTT VYDS S/BLC - 750ML,WINE
WINE,0.00
LIQUOR,33.57
BEER,2.00
BEER,2.75
BEER,0.00
VAJRA LANGHE NEBBIOLO DOC - 750ML,WINE
LIQUOR,11.99
KEGS,0.00
BEER,0.00
STR_SUPPLIES,0.40
LIQUOR,0.17
WINE,2.55
BEER,0.00
WINE,9.41
WINE,0.00
BEER,33.79
WINE,1.19
BEER,16.75
BEER,1.50
BEER,63.50
BEER,15.41
BEER,37.00
BEER,0.00
BEER,7.00
WINE,0.74
WINE,0.41
WINE,8.49
LIQUOR,20.95
LIQUOR,20.70
LIQUOR,36.31
BRECKENRIDGE BOURBON - 750ML,LIQUOR
WINE,0.00
WINE,0.00
WINE,0.00
LIQUOR,3.90
BEER,0.00
LIQUOR,2.37
LIQUOR,1.53
STR_SUPPLIES,10.60
WINE,0.00
LIQUOR,46.66
WINE,0.00
WINE,3.07
BEER,6.79
KEGS,0.00
BEER,0.00
STR_SUPPLIES,2.10
BEER,0.24
BEER,0.00
BEER,1.50
KEGS,0.00
LIQUOR,7.02
WINE,4.53
WINE,2.50
BEER,0.25
MADFISH WEST AUST SHZ - 750ML,WINE
LIQUOR,0.16
LIQUOR,0.08
LIQUOR,26.25
TWO JAMES JOHNNY SMOKING GUN WHISKEY - 750ML,LIQUOR
LIQUOR,0.17
LIQUOR,0.17
LIQUOR,0.00
WINE,0.00
WINE,3.00
BEER,2.00
WINE,0.00
STR_SUPPLIES,14.69
BEER,19.54
WINE,0.75
WINE,0.00
WINE,0.32
WINE,0.32
WINE,3.10
WINE,2.81
BEER,0.00
WINE,0.00
LIQUOR,3.23
WINE,4.32
WINE,0.16
BEER,0.00
KEGS,0.00
WINE,0.33
HILLROCK MADIERA FINISHED RYE - 750ML,LIQUOR
MARKHAM CAB - 750ML,WINE
WINE,0.66
WINE,2.94
WINE,4.44
LIQUOR,2.77
INDABA WESTERN CAPE CH/BLC - 750ML,WINE
LIQUOR,0.17
LIQUOR,0.34
LIQUOR,0.34
LIQUOR,0.64
WINE,0.00
WINE,12.98
STR_SUPPLIES,2.80
WINE,0.00
LIQUOR,22.16
LIQUOR,0.68
LIQUOR,0.85
BEER,15.00
BEER,0.00
BEER,0.00
BEER,0.00
BEER,0.00
KEGS,0.00
WINE,0.00
KEGS,0.00
LIQUOR,0.17
WINE,11.07
WINE,0.08
BEER,0.00
BEER,0.17
STR_SUPPLIES,0.20
LIQUOR,0.24
LIQUOR,10.63
WINE,3.56
BEER,0.00
WINE,41.65
LIQUOR,68.30
WINE,0.00
LIQUOR,4.89
BEER,0.00
BEER,0.00
BEER,0.00
BEER,0.00
LIQUOR,0.57
LIQUOR,6.43
LIQUOR,2.40
LIQUOR,2.64
LIQUOR,109.97
LIQUOR,82.48
WINE,11.06
LIQUOR,2.56
DR PAULY BERG NOBLE HOUSE RIES - 750ML,WINE
WINE,0.00
LIQUOR,0.08
REF,16.10
LIQUOR,45.82
WINE,27.29
WINE,0.00
LIQUOR,26.86
LIQUOR,24.66
WINE,0.00
WINE,3.08
WINE,0.17
WINE,0.00
TIAMO PINOT GRIGIO - 750ML,WINE
STR_SUPPLIES,0.40
LIQUOR,0.17
LIQUOR,0.67
LIQUOR,1.02
LIQUOR,1.53
WINE,1.97
LIQUOR,0.00
LIQUOR,0.51
SPY VALLEY MARLBOROUGH S/BLC - 750ML,WINE
LIQUOR,0.72
BEER,0.00
BEER,0.00
BEER,0.00
BEER,0.00
LIQUOR,0.17
LIQUOR,0.17
LIQUOR,0.34
LIQUOR,0.68
LIQUOR,4.40
LIQUOR,0.40
LIQUOR,0.51
LIQUOR,2.11
STR_SUPPLIES,47.72
LIQUOR,0.00
LIQUOR,0.68
BELLEFON CUV DES MOINES BRUT - 750ML,WINE
WINE,0.25
LIQUOR,1.52
WINE,5.06
LIQUOR,0.49
LIQUOR,0.34
LIQUOR,0.68
LIQUOR,0.50
LIQUOR,0.08
LIQUOR,0.32
LIQUOR,0.84
WINE,3.41
LIQUOR,6.59
LIQUOR,2.37
BEER,0.00
LIQUOR,1.35
WINE,0.49
BEER,0.00
STR_SUPPLIES,5.71
LIQUOR,0.80
INDABA WESTERN CAPE MER - 750ML,WINE
LIQUOR,25.15
INDABA S/BLC WESTERN CAPE - 750ML,WINE
WINE,0.00
BEER,4.50
BEER,0.00
BEER,1.36
BEER,0.00
LIQUOR,5.07
BEER,0.00
LIQUOR,30.43
LIQUOR,12.00
BEER,0.00
WINE,0.00
WINE,1.23
WINE,2.27
WINE,0.00
BEER,0.00
BEER,0.00
STR_SUPPLIES,0.08
LIQUOR,134.61
LIQUOR,41.65
LIQUOR,27.08
LIQUOR,17.84
LIQUOR,74.11
LIQUOR,126.97
LIQUOR,131.13
LIQUOR,14.00
STR_SUPPLIES,7.40
WINE,0.00
KEGS,0.00
WINE,0.74
LIQUOR,15.30
LIQUOR,44.28
LIQUOR,2.74
LIQUOR,6.42
WINE,7.27
LIQUOR,30.63
LIQUOR,19.34
LIQUOR,46.39
WINE,2.78
LIQUOR,43.85
BEER,0.00
BEER,0.00
DR HEYDEN OPP RIES KAB - 750ML,WINE
LIQUOR,42.84
BEER,0.00
LIQUOR,22.81
STR_SUPPLIES,9.00
BEER,0.00
WINE,0.00
KEGS,0.00
WINE,0.00
WINE,0.08
LIQUOR,21.04
BEER,0.00
WINE,0.00
LIQUOR,0.75
WINE,0.00
WINE,0.33
WINE,0.00
KEGS,0.00
STR_SUPPLIES,4.00
WINE,0.00
LIQUOR,23.40
WINE,0.00
OKUNOMATSU TOKUBETSU JUNMAI - 720ML,WINE
WINE,0.00
BEER,0.00
LIQUOR,17.85
WINE,0.08
WINE,0.08
WINE,0.08
WINE,0.00
KEGS,0.00
BEER,40.75
BEER,0.00
WINE,0.00
KEGS,0.00
WINE,0.00
BEER,0.00
CAPARZO BRUN-MONT - 750ML,WINE
LIQUOR,0.56
LIQUOR,5.05
WINE,1.87
WINE,0.00
WINE,3.05
WINE,9.01
WINE,0.51
WINE,0.82
WINE,0.00
BEER,0.00
BEER,0.00
BEER,18.00
KEGS,0.00
STR_SUPPLIES,38.00
LIQUOR,20.95
LIQUOR,0.51
LIQUOR,0.51
BEER,0.00
LIQUOR,3.00
LIQUOR,0.17
LIQUOR,0.68
BEER,0.00
YALUMBA Y SERIES SHZ/VIOG - 750ML,WINE
SANTA BARBARA P/NOIR - 750ML,WINE
WINE,0.00
LIQUOR,11.36
WINE,2.90
WINE,0.17
WINE,1.21
STR_SUPPLIES,3.89
WINE,0.00
WINE,0.33
BEER,0.00
BEER,0.00
WINE,1.87
LIQUOR,5.03
BEER,7.29
LIQUOR,9.50
WINE,0.00
BEER,0.00
WINE,0.17
WINE,9.94
LIQUOR,24.44
BEER,0.00
LIQUOR,10.92
WINE,0.00
WINE,0.25
LIQUOR,0.99
BEER,0.00
BEER,0.00
WINE,0.16
LIQUOR,0.72
WINE,0.24
LIQUOR,12.67
LIQUOR,0.57
LIQUOR,0.48
LIQUOR,0.08
BEER,0.00
YALUMBA Y SERIES UNWOOD CHARD - 750ML,WINE
BEER,0.00
LIQUOR,30.69
LIQUOR,29.12
BEER,1.79
WINE,0.08
LIQUOR,2.25
LIQUOR,0.04
BEER,0.00
BELLEFON CUV BRUT ROSE 6/CS - 750ML,WINE
BEER,0.00
LIQUOR,12.15
KEGS,0.00
BEER,0.00
WINE,0.00
BEER,0.00
BEER,0.00
BEER,0.00
LIQUOR,0.96
WINE,0.75
BEER,0.00
LURTON ARAUCANO RES S/BLC - 750ML,WINE
WINE,19.93
BEER,0.00
BEER,0.25
BEER,0.00
KEGS,0.00
LIQUOR,10.52
WINE,0.00
LIQUOR,156.47
L'ECOLE NO 41 COL VLY MER - 750ML,WINE
LIQUOR,35.91
DUNNAGE,0.00
WINE,1.49
LIQUOR,7.59
LIQUOR,10.28
BEER,1.00
BEER,0.00
WINE,20.87
BEER,0.00
SELBACH RIES DRY FISH - 750ML,WINE
BEER,0.00
WINE,0.50
LIQUOR,21.79
WINE,0.00
BEER,73.54
BULLETIN PLACE SHZ - 750ML,WINE
LIQUOR,25.29
LIQUOR,2.81
LIQUOR,6.72
BEER,1.75
CATENA ALTA CAB - 750ML,WINE
LIQUOR,0.00
BEER,0.21
LIQUOR,34.69
BEER,0.00
CORNARO VENETO P/GRIG - 750ML,WINE
BEER,46.20
BEER,0.00
BEER,8.50
WINE,42.88
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.99
WINE,0.00
WINE,1.41
WINE,0.57
WINE,9.86
LIQUOR,1.35
WINE,0.00
WINE,0.00
WINE,0.08
LIQUOR,6.50
WINE,9.18
WINE,0.00
LIQUOR,11.69
ISOLE E OLENA CHIANTI CL - 750ML,WINE
WINE,2.48
WINE,0.82
WINE,0.00
WINE,0.00
LIQUOR,1.40
WINE,0.90
WINE,9.38
WINE,0.49
LIQUOR,1.47
BARBOURSVILLE OCTOGON - 750ML,WINE
WINE,0.08
WINE,0.24
WINE,2.17
WINE,0.32
WINE,0.65
WINE,0.32
WINE,0.00
WINE,0.57
WINE,0.32
WINE,0.32
WINE,0.17
OXFORD LANDING S/BLC - 750ML,WINE
WINE,0.00
WINE,0.00
WINE,0.00
CATENA ALTA CHARD - 750ML,WINE
CATENA ALTA MAL 6/C - 750ML,WINE
WINE,0.00
WINE,0.00
WINE,10.79
WINE,0.00
SANTA JULIA OAK RES MAL - 750ML,WINE
STR_SUPPLIES,0.40
WINE,5.62
WINE,0.00
WINE,4.57
WINE,1.79
MARIETTA OV RED - 750ML,WINE
WINE,0.00
WINE,6.50
SANTA BARBARA CHARD - 750ML,WINE
WINE,0.98
WINE,28.06
BEER,4.83
WINE,4.47
LIQUOR,0.51
WINE,0.00
WINE,0.17
WINE,0.32
LIQUOR,13.18
LIQUOR,2.20
WINE,0.00
LIQUOR,1.02
WINE,0.00
LIQUOR,0.41
LIQUOR,10.48
WINE,0.00
WINE,0.00
WINE,0.00
ARGYLE NV BRUT SPARK - 750ML,WINE
WINE,1.31
WINE,0.24
LIQUOR,10.03
WINE,0.57
